Question,Context,Answer 1,Score 1,Feedback 1,Answer 2,Score 2,Feedback 2
"What factors cause a decrease production of neutrophils, resulting in neutropenia?","Neutrophils are cells in your immune system that attack bacteria and other organisms when they invade your body. The risk for serious infection generally increases as: Neutrophil count goes down Duration of severe neutropenia gets longer The causes of neutropenia include: Problem in the production of neutrophils in the bone marrow Destruction of neutrophils outside the bone marrow Infection Nutritional deficiency Causes of decreased production of neutrophils include: Being born with a problem with bone marrow production (congenital) Leukemia and other conditions that affect the bone marrow or lead to bone marrow failure Radiation Chemotherapy Infections that can cause neutropenia include: Tuberculosis Dengue fever Viral infections such as Epstein- Barr virus, cytomegalovirus, HIV, viral hepatitis Increased destruction of neutrophils can be due to the body's immune system targeting neutrophils for destruction.",Leukemia and bone marrow failure can decrease production.,8,"Good, but could include more causes of decreased production.",Infections like tuberculosis can cause decreased production.,6,"Partially correct, but more causes could be mentioned."
What are the symptoms of neutropenia?,"Neutrophils are cells in your immune system that attack bacteria and other organisms when they invade your body. Neutropenia itself often doesn't cause symptoms. In some cases, people only learn they have neutropenia when they have a blood test for an unrelated reason. But some people may have other symptoms from infection or the underlying problem causing the neutropenia.",Neutropenia itself often doesn't cause symptoms.,8,"Good, accurate answer but could be more detailed.",Neutropenia causes fever and increases infection risk.,7,"Partially correct, good attempt but could mention more symptoms."
What are some treatments for neutropenia?,"Neutrophils are cells in your immune system that attack bacteria and other organisms when they invade your body. This may be related to having an autoimmune condition, such as: Crohn's disease Rheumatoid arthritis Lupus In some people, neutropenia can be caused by certain medications, such as: Antibiotics Blood pressure drugs Psychiatric drugs Epilepsy drugs When deciding on treatment, health care providers consider the cause and severity of the neutropenia. Approaches for treating neutropenia include: Antibiotics for fever. A treatment called granulocyte colony-stimulating factor ( G- CSF). This stimulates the bone marrow to produce more white blood cells. Changing medications, if possible, in cases of drug-induced neutropenia Granulocyte (white blood cell) transfusion (very uncommon) Stem cell transplants may be useful in treating some types of severe neutropenia, including those caused by bone marrow problems.","Antibiotics, G-CSF, changing medications, granulocyte transfusion, stem cell transplants.",10,"Excellent, accurate and comprehensive answer covering all treatment options.","Antibiotics, vitamin supplements, blood transfusion, stem cell therapy, G-CSF injections.",7,"Good attempt, but vitamin supplements are not a common treatment for neutropenia."
What causes a migraine with brainstem aura?,"Triggers may include: Alcohol Stress Lack of sleep Some medications Hunger Female hormone changes Bright lights Caffeine Nitrites in some foods, like sandwich meat, bacon, and processed foods Overdoing physical activity Weather or altitude Symptoms differ for everyone, but some are typical: Nausea Vomiting Sensitivity to light and sound Cold hands or feet Dizziness Double vision or graying of vision Slurred speech or trouble speaking Temporary blindness Loss of balance Confusion Trouble hearing Body tingling Loss of consciousness Aura symptoms may last between 5 minutes and 1 hour.","Triggers may include alcohol, stress, lack of sleep.",8,"Good, but could include more triggers.","Triggers like stress, caffeine, female hormone changes.",6,"Partial answer, missing important triggers like bright lights and weather."
How does diet affect migraine with brainstem aura?,Diet can also affect migraines. Do these things: Eat a balanced diet.,A balanced diet can help reduce migraine frequency.,9,Good job! Specificity could improve the answer.,Diet has no impact on migraines with aura.,3,Incorrect. Diet can play a role in migraine management.
What are the symptoms of a migraine with brainstem aura?,"Triggers may include: Alcohol Stress Lack of sleep Some medications Hunger Female hormone changes Bright lights Caffeine Nitrites in some foods, like sandwich meat, bacon, and processed foods Overdoing physical activity Weather or altitude Symptoms differ for everyone, but some are typical: Nausea Vomiting Sensitivity to light and sound Cold hands or feet Dizziness Double vision or graying of vision Slurred speech or trouble speaking Temporary blindness Loss of balance Confusion Trouble hearing Body tingling Loss of consciousness Aura symptoms may last between 5 minutes and 1 hour.","Nausea, vomiting, sensitivity to light, dizziness, double vision.",8,"Good list of symptoms, but missing some key ones like temporary blindness.","Nausea, loss of consciousness, trouble hearing, body tingling, confusion.",6,"Good effort, but some symptoms are not specific to brainstem aura migraines."
What foods commonly trigger migraine with brainstem aura?,"Some common food triggers include: Dairy Wheat Chocolate Eggs Rye Tomatoes Oranges Along with these changes, If you don't respond to other treatments and you have 4 or more migraine days a month, your doctor may suggest preventive medicines.","Dairy, wheat, chocolate, eggs, tomatoes, oranges.",10,"Excellent, provided all common food triggers.","Dairy, wheat, chocolate, eggs, oranges.",7,Missing rye and tomatoes as common triggers. Good effort overall.
What is Migraine with Brainstem Aura?,"Migraine with brainstem aura or MBA (formerly known as basilar migraines) are headaches that start in the lower part of the brain, called the brainstem. They cause symptoms such as dizziness, double vision, and lack of coordination. These changes, called an aura, can happen about 10 minutes to 45 minutes before your head hurts. The headache pain of a basilar migraine often starts on one side of the head and then gradually spreads and gets stronger.","Dizziness, double vision, lack of coordination, aura before pain.",10,Comprehensive answer covering all major symptoms.,Headache with dizziness and vision problems.,6,Missing mention of coordination issues and aura preceding pain.
Can migraine with brainstem aura be prevented?,"To keep from getting a MBA, it helps to avoid the things that usually cause one. Keep a journal of your attacks so you can figure out the things that trigger them. It also helps to live a healthy lifestyle. That means you need to: Get enough sleep.","Yes, by identifying triggers and maintaining a healthy lifestyle.",9,Good job mentioning triggers and lifestyle changes.,Avoiding triggers like stress and getting enough sleep can help.,7,"Good mention of triggers and sleep, could include more lifestyle factors."
How long do the aura symptoms of a migraine with brainstem aura last?,"Triggers may include: Alcohol Stress Lack of sleep Some medications Hunger Female hormone changes Bright lights Caffeine Nitrites in some foods, like sandwich meat, bacon, and processed foods Overdoing physical activity Weather or altitude Symptoms differ for everyone, but some are typical: Nausea Vomiting Sensitivity to light and sound Cold hands or feet Dizziness Double vision or graying of vision Slurred speech or trouble speaking Temporary blindness Loss of balance Confusion Trouble hearing Body tingling Loss of consciousness Aura symptoms may last between 5 minutes and 1 hour. When the headache starts, you might feel an intense throbbing or pulsating pain on one or both sides of your head or sometimes at the back of your head.",Aura symptoms may last between 5 minutes and 1 hour.,10,Correct and complete answer.,Aura symptoms may last between 2 minutes and 1.5 hours.,5,"Partially correct, but the range is slightly off."
How are migraines with brainstem aura diagnosed?,"After you've had at least two attacks of at least two auras, your doctor often make the diagnosis of migraine with brainstem aura. The condition has many of the same symptoms as another type, called hemiplegic migraine. But the hemiplegic kind usually causes weakness of one side of the body or trouble speaking. Symptoms of MBA can also seem like the signs of other more serious conditions, like seizure disorders, stroke, meningitis, or brain tumors. To rule those out, you'll need to see a brain doctor, called a neurologist. He'll give you a thorough exam and ask you questions about your symptoms. He'll may also use tests like MRI, CT scans, and nerve tests to see what's causing your symptoms.",Diagnosis is often made after at least two attacks of at least two auras.,10,"Perfect answer, complete and accurate.",Diagnosis is based on symptoms and tests like MRI.,7,"Partially correct, could mention the importance of multiple attacks for diagnosis."
What are the symptoms of migraine with brainstem aura?,"Triggers may include: Alcohol Stress Lack of sleep Some medications Hunger Female hormone changes Bright lights Caffeine Nitrites in some foods, like sandwich meat, bacon, and processed foods Overdoing physical activity Weather or altitude Symptoms differ for everyone, but some are typical: Nausea Vomiting Sensitivity to light and sound Cold hands or feet Dizziness Double vision or graying of vision Slurred speech or trouble speaking Temporary blindness Loss of balance Confusion Trouble hearing Body tingling Loss of consciousness Aura symptoms may last between 5 minutes and 1 hour.","Nausea, vomiting, sensitivity to light and sound.",9,"Good identification of common symptoms, missing a few others.","Nausea, dizziness, temporary blindness, loss of consciousness.",7,"Good attempt, but missing some key symptoms like sensitivity to light and sound."
What are different names for migraine with brainstem aura?,Migraines with brainstem aura are known by several different names: Basilar migraine Basilar artery migraine Basilar-type migraine Bickerstaff's syndrome Brainstem migraine Vertebrobasilar migraine MBA can affect people of all ages.,"Basilar migraine, Basilar artery migraine, Brainstem migraine",10,"Perfect, all relevant names provided.","Aura migraine, Brainstem headache",4,"Missing specific terms, could be more accurate."
What medications can help to prevent migraine with brainstem aura?,"Some common food triggers include: Dairy Wheat Chocolate Eggs Rye Tomatoes Oranges Along with these changes, If you don't respond to other treatments and you have 4 or more migraine days a month, your doctor may suggest preventive medicines. You can take these regularly to reduce the severity or frequency of the headaches. These include seizure medicines, blood pressure medicines (like beta blockers and calcium channel blockers), and some antidepressants. CGRP inhibitors are a new class of preventive medicine that your doctor may recommend if other medicines don't help.","Seizure medicines, blood pressure medicines, antidepressants, CGRP inhibitors.",10,Correct and comprehensive answer.,Painkillers,2,Missing specific preventive medications for migraine with brainstem aura.
What can you do to prevent migraine with brainstem aura?,That means you need to: Get enough sleep. Limit your stress. Exercise daily.,"Get enough sleep, limit stress, exercise daily.",10,"Perfect answer, all key points mentioned.","Get sleep, limit stress, exercise sometimes.",7,"Good effort, but need to be consistent with exercise."
How long do basilar migraines last?,This type of migraine can last anywhere from 4 to 72 hours. And it takes time to recover from one. You may feel drained for up to 24 hours after it's over.,Basilar migraines can last anywhere from 4 to 72 hours.,10,Correct and comprehensive answer.,Basilar migraines can last for a few hours.,5,Answer is too vague and lacks specific detail.
How is migraine with brainstem aura diagnosed?,"After you've had at least two attacks of at least two auras, your doctor often make the diagnosis of migraine with brainstem aura. The condition has many of the same symptoms as another type, called hemiplegic migraine. But the hemiplegic kind usually causes weakness of one side of the body or trouble speaking. Symptoms of MBA can also seem like the signs of other more serious conditions, like seizure disorders, stroke, meningitis, or brain tumors. To rule those out, you'll need to see a brain doctor, called a neurologist. He'll give you a thorough exam and ask you questions about your symptoms.","After two attacks of at least two auras, doctor diagnosis.",7,"Good attempt, but could be more specific about the symptoms and the need to see a neurologist.",Diagnosis made after multiple attacks with specific symptoms.,6,"Partial answer, needs more detail on the specific symptoms and medical professional involved."
What preventative medications are used for migraine with brainstem aura?,"Some common food triggers include: Dairy Wheat Chocolate Eggs Rye Tomatoes Oranges Along with these changes, If you don't respond to other treatments and you have 4 or more migraine days a month, your doctor may suggest preventive medicines. You can take these regularly to reduce the severity or frequency of the headaches. These include seizure medicines, blood pressure medicines (like beta blockers and calcium channel blockers), and some antidepressants. CGRP inhibitors are a new class of preventive medicine that your doctor may recommend if other medicines don't help.","Seizure medicines, blood pressure medicines, antidepressants, CGRP inhibitors.",10,Comprehensive and accurate answer.,Pain relievers like ibuprofen or acetaminophen.,3,"Incorrect, these are for acute treatment, not prevention."
How can you change your diet to prevent migraine with brainstem aura?,Diet can also affect migraines. Do these things: Eat a balanced diet. Avoid drugs and alcohol. Don't skip meals. Limit caffeine. Avoid any foods that have been triggers.,"Eat a balanced diet, avoid triggers, limit caffeine.",9,Good job mentioning specific dietary changes to prevent migraines.,"Eat healthy, avoid stress, limit caffeine intake.",6,"Good start, but be more specific about dietary changes to prevent migraines."
What are basilar migraines?,"Migraine with brainstem aura or MBA (formerly known as basilar migraines) are headaches that start in the lower part of the brain, called the brainstem. They cause symptoms such as dizziness, double vision, and lack of coordination. These changes, called an aura, can happen about 10 minutes to 45 minutes before your head hurts. The headache pain of a basilar migraine often starts on one side of the head and then gradually spreads and gets stronger.",Headaches starting in the brainstem causing dizziness and aura.,8,"Good summary, could include more specific symptoms.",Migraines that start in the brainstem causing various symptoms.,6,"Vague, needs more detail about specific symptoms."
How can I prevent liver cancer?,"Here are ways to reduce your risk of getting liver cancer: If you risk exposure to hepatitis, ask your doctor about getting immunized. Practice safe sex and avoid IV drug use. Drink alcohol only in moderation. If you work around chemicals linked to liver cancer, follow safety guidelines to avoid unnecessary contact. Before taking iron supplements, check with a doctor to make sure you really need them. Do not use anabolic steroids unless medically necessary.","Get vaccinated for hepatitis, practice safe sex.",8,"Good, concise answer focusing on key prevention methods.","Avoid alcohol, use anabolic steroids if needed.",5,"Partially correct, but anabolic steroids should not be used unless medically necessary."
When should you call the doctor about gas pain in children?,Your child seems sick. Your child vomits blood or green or yellow liquid. Your child has blood in her stool. Your child cries for longer than two hours. Your child has pain in the lower right side. Your child's abdomen seems to be distended and causing pain. There's no evidence that a mom's diet has an effect on gas in babies.,If your child has blood in their stool.,10,Correct and specific to the symptoms mentioned in the context.,If your child's tummy hurts for 2+ hours.,7,Good attempt but should also mention other concerning symptoms.
How can you use retinoids for warts?,How to use: Follow your doctor's instructions for applying retinoids to warts. Creams may need to be used for a few months before warts disappear.,"Follow doctor's instructions, apply creams for few months.",10,"Perfect answer, clear and concise.",Use retinoids by applying them regularly for quick results.,7,"Good effort, but lacks specific details on duration of use."
How are retinoids used for acne?,How to use: Smooth a pea-sized amount of retinoid cream over the skin once a day 20 to 30 minutes after washing your face.,Apply a pea-sized amount once daily after washing.,10,Correct and concise answer.,Use retinoid cream on skin after washing face.,7,"Good attempt, but could specify the frequency of application."
How can you use retinoids for wrinkles?,"How to use: Apply to your face, neck, chest, hands, and forearms at least twice a week.","Apply retinoids to face, neck, chest, hands, forearms.",10,Concise and accurate answer.,Apply retinoids daily on face for wrinkles.,5,Missing information on other areas to apply retinoids.
What else do you need to know about using retinoids for warts?,"What else you need to know: When you first use retinoids, you may notice redness, peeling of your skin, or worsening of your acne.","Expect redness, peeling, and acne worsening initially.",8,"Good overview of common side effects, could be more detailed.","Skin may become red, peel, or acne worsen.",6,"Partial answer, lacks mention of initial effects like redness."
How can retinoids help with acne?,"If you have moderate to severe acne that hasn't gotten better with other treatments, a retinoid may help. When spread on the skin, retinoids can unclog pores, allowing other medicated creams and gels to work better. They also reduce acne outbreaks by preventing dead cells from clogging pores. By clearing acne and reducing outbreaks, they may also reduce the formation of acne scars. Retinoid pills treat oil production, bacteria that cause acne, and inflammation.","Retinoids unclog pores, reduce acne outbreaks, prevent scarring.",10,Great job! Complete and accurate response.,Retinoids clear acne by treating oil production and inflammation.,7,"Good start, but could mention how they work on dead cells too."
How can retinoids help with warts?,"Doctors may prescribe retinoids for warts, particularly when other treatments have failed. Retinoid cream works by disrupting the wart's cell growth.",Retinoids disrupt wart cell growth for treatment.,10,"Perfect answer, well done!",Retinoids can remove warts by enhancing cell regeneration.,7,"Good attempt, but retinoids actually disrupt cell growth instead of enhancing it."
What do you need to know about using retinoids for acne?,"What else you need to know: When you first use retinoids, you may notice redness, peeling of your skin, or worsening of your acne. You can minimize this by using the product every other day until your body gets used to it, or mix it with moisturizer.",Start using retinoids every other day to minimize side effects.,8,"Good answer, but could mention mixing with moisturizer as well.","Use retinoids regularly to treat acne, watch out for side effects.",5,"Partially correct, but missed important information about minimizing side effects."
How can retinoids help with wrinkles?,"Tretinoin was the first retinoid approved by the FDA to treat wrinkles. This prescription retinoid works by increasing the making of new collagen. It also stimulates new blood vessels in the skin, giving skin a rosy appearance, fading age spots, and reducing precancerous skin spots called actinic keratosis. Tretinoin also may help prevent more serious effects of ultraviolet radiation. Over-the-counter retinoids may not work as well as tretinoin in reducing wrinkles, but they can improve the appearance of sun-damaged skin.","Retinoids increase collagen production, reducing wrinkles effectively.",10,"Perfect answer, well done!","Retinoids only work on superficial skin, not deep wrinkles.",5,"Partially correct, but missed the collagen production aspect."
How can retinoids help with psoriasis?,"How to use: Smooth a pea-sized amount of retinoid cream over the skin once a day 20 to 30 minutes after washing your face. Over-the-counter retinoids may not work as well as tretinoin in reducing wrinkles, but they can improve the appearance of sun-damaged skin.",Retinoids can help improve the appearance of psoriasis.,8,"Good explanation, but could be more specific.",Retinoids can reduce inflammation and scale formation in psoriasis.,7,"Good mention of key benefits, but could mention other effects."
What are the side effects and precautions for using retinoids?,"Although retinoids may not be the answer to every skin condition, there are several with proven results. Risks include: Dryness and irritation Skin color changes Sensitivity to sunlight Redness, swelling, crusting, or blistering How to Minimize Risks Stay out of the sun.",Stay out of the sun.,10,Correct and concise answer.,"Apply sunscreen regularly, avoid excessive sun exposure.",9,"Good effort, but could be more direct like ""Stay out of the sun"" for better clarity."
What should you know about retinoids?,"Although retinoids may not be the answer to every skin condition, there are several with proven results. Tretinoin was the first retinoid approved by the FDA to treat wrinkles.",Tretinoin,10,"Perfect, concise and accurate answer.",Retinol,5,"Incorrect, it was actually Tretinoin, not Retinol."
How can you minimize the risks of using retinoids?,"Using them along with products that have alpha-hydroxy acids may provide even more skin-smoothing effects. Although retinoids are helpful for many common skin problems, they are not without risks. Risks include: Dryness and irritation Skin color changes Sensitivity to sunlight Redness, swelling, crusting, or blistering How to Minimize Risks Stay out of the sun. If you must be outdoors, limit your hours, especially between 10 a.m. and 2 p.m. Wear sunscreen, preferably with a sun protection factor ( SPF) of 30 or higher, and protective clothing, such as a long-sleeved shirt, pants, and a large-brimmed hat. Never use more of the product or use it more frequently than your doctor prescribes or the package label says.","Stay out of the sun, wear sunscreen, follow instructions.",10,Perfect answer covering all key points.,"Sun exposure, sunscreen, following instructions.",7,Good attempt but could be more specific about risks.
Can medication cause erectile dysfunction?,"If you think your medicine may be causing your problem, don't just stop taking it. Talk to your doctor. You may need to switch to something different, or consider taking an ED medication, too.","Yes, certain medications can lead to ED.",10,Correct and concise answer.,Medications may or may not cause ED.,5,"Ambiguous response, needs more clarity."
Does aging cause erectile dysfunction?,"Aging doesn't cause ED, but the problem is more common in older men. Counseling can help you work through any relationship or emotional troubles you may be facing.","No, aging doesn't directly cause erectile dysfunction.",10,Correct and concise answer.,"Yes, erectile dysfunction is caused by aging.",2,"Incorrect, aging is not the direct cause of ED."
What causes erectile dysfunction?,"!s_sensitive, chron ID: $('article embeded_module[type=video][align=top]:eq(0)').attr('chronic_id'), continuous Play: true, cp Options: { flyout: true }, display Ads: true, mode: 'in-article', sticky: true }) }); }); } else { $(function(){ $('.responsive-video-container').remove(); }); } Decreased blood flow, typically because vessels that supply blood to the penis have narrowed, is often the cause of erectile dysfunction ( ED) in older men. Emotional issues are more commonly at the root of it for younger men. Just about any medical condition that affects your nerves or blood vessels could hurt your ability to have erections. High blood pressure, heart disease, multiple sclerosis, and diabetes can all lead to ED. In fact, over 50% of men with diabetes find themselves in that situation. Several types of medications, like blood pressure drugs (especially beta-blockers) and certain antidepressants, can make it tough to get an erection.","Decreased blood flow, emotional issues, medical conditions, medications.",10,Comprehensive and accurate answer covering various causes of ED.,"Stress, anxiety, medical conditions, medications, lifestyle choices.",8,"Good attempt, but could have included more specific medical conditions and lifestyle factors."
How did researchers try to find the link between thimerosal and autism?,"To see if thimerosal was linked to autism, researchers studied children who received vaccines that contained it. They compared them to kids who received vaccines that didn't. The CDC conducted or paid for nine different studies looking at thimerosal and autism. It found no link.",Researchers compared children who received vaccines with thimerosal to those who didn't.,10,"Good comprehensive answer, well done!",Researchers didn't find a link between thimerosal and autism.,7,"Good attempt, but missing the comparison aspect mentioned in the research."
What is the controversy behind thimerosal and autism?,"It was called thimerosal, and it contained mercury. That's a metal that's harmful to the brain and kidneys at high levels. Doctors used thimerosal to prevent the growth of bacteria and fungi in vaccines. There was no evidence that the small amount used in the medicines caused harm. Still, it was taken out of most children's vaccines by 2001 at the urging of the American Academy of Pediatrics and the U. S. Public Health Service.",Thimerosal in vaccines was believed to cause autism.,2,The answer is partially correct but lacks details and evidence.,"Thimerosal contained mercury, removed from vaccines due to safety concerns.",8,Good response with relevant details and context provided.
How are vaccines linked to autism?,More than a dozen studies have tried to find a link. The paper's findings led other doctors to do their own research into the link between the MMR vaccine and autism.,Multiple studies have found no link between vaccines and autism.,10,"Accurate and clear response, well done!",Some studies suggest a possible link between vaccines and autism.,7,"Good attempt, but could be more specific and provide more context."
What should I do if my child has a biting injury?,"If you bite your child, the child is going to get the impression that this behavior is acceptable and he or she will be more likely to do it again. Even little teeth can break the skin. If the bite is bleeding and the wound appears to be deep, call your child's doctor. The bite may need medical treatment, which could include antibiotics or a tetanus shot, or both.",Clean the wound with soap and water.,9,Correct and concise answer.,Put a band-aid on the wound.,3,"Incomplete answer, lacks information on further steps or medical attention needed."
Why do children bite?,Kids bite for a number of reasons -- and most of them aren't intentionally malicious. They're in pain. They're looking for a reaction. They're craving attention. They're frustrated.,"Children bite due to pain, seeking attention, frustration.",10,Perfect answer covering all the reasons children bite.,Kids bite because they are bored or hungry.,4,"Missing key reasons like pain, seeking attention, and frustration."
What are the risks of taking biotin?,If you have any medical conditions -- or are pregnant or breastfeeding -- check with a doctor before using biotin supplements. Don't give biotin to a child unless a pediatrician recommends it.,Check with a doctor if pregnant or breastfeeding.,8,"Good, concise answer addressing specific groups at risk.",Don't give biotin to a child without doctor's recommendation.,7,"Good, but could mention other medical conditions as well."
What is biotin used for?,"Other uses of biotin -- for conditions like cradle cap, hepatitis, hair loss, and depression -- are unsupported or untested.",Biotin is used for improving hair and nail health.,10,Correct and concise answer.,Biotin is used for various health conditions.,5,"Partial answer, could be more specific with examples."
Can you get biotin naturally from foods?,"Biotin occurs naturally in many foods. Wheat germ, whole-grain cereals, whole wheat bread, eggs, dairy products, peanuts, soya nuts, Swiss chard, salmon, and chicken are all sources of biotin.","Yes, biotin occurs naturally in foods like eggs and peanuts.",9,"Good answer, specific examples help support your point.",Biotin only comes from eggs.,3,"Incorrect, biotin is found in a variety of foods, not just eggs."
What does biotin do to the body?,"Biotin plays a key role in the body. It supports the health of the skin, nerves, digestive tract, metabolism, and cells. One small study suggested that biotin and other micronutrients helped treat peripheral neuropathy, nerve pain in the extremities that can result from kidney failure or diabetes.","Supports skin, nerves, metabolism, and cell health.",10,"Perfect answer, includes all key functions of biotin.",Helps with digestion and nerve pain in extremities.,8,"Good answer, but missing mention of skin health and overall cell support."
